Artist,x,y
The Smiths,-0.839009288,0.937791602
girl in red,-0.433436533,0.900466563
Cigarettes After Sex,-0.826625387,0.797822706
Françoise Hardy,-0.634674923,0.741835148
FKA twigs,-0.340557276,0.785381026
Chappell Roan,0,0.751166407
Joy Division,-0.79876161,0.65163297
In Rainbows,-0.393188854,0.66718507
Alex G,-0.07120743,0.620528771
Bladee,-0.773993808,0.536547434
Elliott Smith,-0.399380805,0.589424572
Amy Winehouse,-0.235294118,0.520995334
Death Grips,-0.820433437,0.465007776
Julien Baker,-0.789473684,0.356143079
Nancy Sinatra,-0.433436533,0.409020218
Deftones,-0.148606811,0.384136858
Car Seat Headrest,-0.925696594,0.250388802
Grimes,-0.665634675,0.265940902
PJ Harvey,-0.303405573,0.278382582
Sir Chloe,-0.882352941,0.141524106
bôa,-0.492260062,0.153965785
TV Girl,-0.204334365,0.144634526
Hole,-0.687306502,0.032659409
Faye Webster,-0.349845201,0.038880249
Charli xcx,0,0.944012442
Ariana Grande,0.306501548,0.872472784
Lana Del Rey,0.749226006,0.916018663
Doja Cat,0.386996904,0.779160187
Hozier,0.653250774,0.791601866
SZA,0.185758514,0.65785381
Frank Ocean,0.578947368,0.67962675
Drake,0.873065015,0.723172628
Melanie Martinez,0.256965944,0.583203733
Dua Lipa,0.399380805,0.496111975
Olivia Rodrigo,0.767801858,0.530326594
Arctic Monkeys,0.269349845,0.374805599
Billie Eilish,0.73374613,0.368584759
The 1975,0.151702786,0.262830482
Kehlani,0.486068111,0.272161742
Kanye West,0.848297214,0.259720062
The Strokes,0.142414861,0.153965785
Miley Cyrus,0.529411765,0.178849145
Florence + The Machine,0.380804954,0.01399689
Taylor Swift,0.817337461,0.063763608
Fiona Apple,-0.823529412,-0.101088647
Jeff Buckley,-0.340557276,-0.094867807
Björk,-0.823529412,-0.272161742
Mother Mother,-0.588235294,-0.222395023
Suki Waterhouse,-0.27244582,-0.253499222
Phoebe Bridgers,-0.761609907,-0.427682737
Cocteau Twins,-0.309597523,-0.359253499
M83,-0.00619195,-0.3437014
Portishead,-0.297213622,-0.433903577
New Order,-0.334365325,-0.499222395
Japanese Breakfast,-0.705882353,-0.592534992
Kero Kero Bonito,-0.068111455,-0.595645412
Sufjan Stevens,-0.473684211,-0.701399689
Magdalena Bay,-0.743034056,-0.766718507
Talking Heads,-0.043343653,-0.766718507
Weezer,-0.885448916,-0.962674961
Mazzy Star,-0.625386997,-0.875583204
The National,-0.346749226,-0.832037325
The Cure,-0.284829721,-0.919129082
boygenius,0.021671827,-0.017107309
Depeche Mode,0.055727554,-0.104199067
Lil Yachty,0.473684211,-0.125972006
Lorde,0.808049536,-0.144634526
Radiohead,0.083591331,-0.234836703
Fleetwood Mac,0.705882353,-0.287713841
Kate Bush,0.325077399,-0.34059098
Clairo,0.634674923,-0.387247278
The Cranberries,0.226006192,-0.465007776
Coldplay,0.752321981,-0.505443235
Vance Joy,0.250773994,-0.601866252
Fall Out Boy,0.656346749,-0.583203733
Paramore,0.560371517,-0.67029549
Tame Impala,0.46130031,-0.744945568
Noah Kahan,0.455108359,-0.832037325
U2,0.857585139,-0.772939347
Mitski,0.114551084,-0.965785381